term,estimate,std.error,statistic,p.value,nct_id,model_n
como_cnt,0.532,0.311,1.7102345439,0.0872225103,NCT00926289,4
I(como_cnt^2),-0.056,0.093,-0.6007870455,0.5479818335,NCT00926289,4
(Intercept),-2.307,0.428,-5.3965174639,6.794680099980046e-8,NCT01335464,1
age_std,0.348,0.236,1.4726591577,0.1408429646,NCT01335464,1
sex,0.822,0.395,2.0811011279,0.0374246506,NCT01335464,1
como_cnt,-0.129,0.087,-1.4803602388,0.1387771351,NCT01335464,1
(Intercept),-2.262,0.442,-5.1142457987,3.1499696623362255e-7,NCT01335464,2
age_std,0.352,0.237,1.4860872814,0.137256036,NCT01335464,2
sex,0.824,0.395,2.0852832674,0.0370435954,NCT01335464,2
como_cnt,-0.208,0.221,-0.9396883796,0.3473774275,NCT01335464,2
I(como_cnt^2),0.017,0.044,0.392123996,0.6949665982,NCT01335464,2
(Intercept),-2.571,0.392,-6.5529578877,5.64084281071032e-11,NCT01335464,5
age_std,0.253,0.227,1.1161787753,0.2643456178,NCT01335464,5
sex,0.891,0.392,2.2742183316,0.0229528626,NCT01335464,5
(Intercept),-2.421,0.433,-5.5861634914,2.3214070734731064e-8,NCT01335464,3
age_std,-0.051,0.31,-0.1658584758,0.8682683263,NCT01335464,3
I(age_std^2),0.5,0.282,1.7725669408,0.0763004938,NCT01335464,3
sex,0.863,0.397,2.1736798679,0.0297291856,NCT01335464,3
como_cnt,-0.132,0.088,-1.5100010151,0.1310431651,NCT01335464,3
(Intercept),-2.378,0.45,-5.2896814302,1.2252958610334798e-7,NCT01335464,4
age_std,-0.046,0.31,-0.1477605297,0.88253176,NCT01335464,4
I(age_std^2),0.498,0.282,1.7639036774,0.0777481976,NCT01335464,4
sex,0.864,0.397,2.1745492131,0.0296639137,NCT01335464,4
como_cnt,-0.204,0.222,-0.9205550616,0.3572827733,NCT01335464,4
I(como_cnt^2),0.016,0.044,0.3545479991,0.722928239,NCT01335464,4
(Intercept),-2.523,0.331,-7.6140923645,2.6555085714369234e-14,NCT01335477,1
age_std,0.798,0.236,3.3752841965,7.37394991460036e-4,NCT01335477,1
sex,0.168,0.282,0.5944644721,0.552201498,NCT01335477,1
como_cnt,0.202,0.07,2.8679657833,0.0041312021,NCT01335477,1
(Intercept),-2.265,0.366,-6.184413741,6.23336858336862e-10,NCT01335477,2
age_std,0.845,0.239,3.5300679162,4.154530045407249e-4,NCT01335477,2
sex,0.128,0.285,0.4482742719,0.6539552663,NCT01335477,2
como_cnt,-0.076,0.195,-0.3914531484,0.6954623134,NCT01335477,2
I(como_cnt^2),0.048,0.032,1.5188958146,0.1287887227,NCT01335477,2
(Intercept),-2.061,0.28,-7.3507697387,1.9706865506861404e-13,NCT01335477,5
age_std,0.902,0.232,3.8867946255,1.0157662233619685e-4,NCT01335477,5
sex,0.086,0.279,0.3095413375,0.7569097723,NCT01335477,5
(Intercept),-2.523,0.33,-7.6521761672,1.9760626458545057e-14,NCT01335477,3
age_std,0.562,0.401,1.4002095648,0.1614505725,NCT01335477,3
I(age_std^2),0.224,0.32,0.6985862412,0.4848106446,NCT01335477,3
sex,0.168,0.282,0.5958114904,0.5513011668,NCT01335477,3
como_cnt,0.204,0.071,2.8977558394,0.0037584306,NCT01335477,3
(Intercept),-2.267,0.366,-6.1997828626,5.654111270623097e-10,NCT01335477,4
age_std,0.631,0.409,1.5447661181,0.1224028455,NCT01335477,4
I(age_std^2),0.202,0.323,0.6243762034,0.5323805493,NCT01335477,4
sex,0.128,0.285,0.4489833352,0.6534436783,NCT01335477,4
como_cnt,-0.069,0.196,-0.3539590512,0.7233695715,NCT01335477,4
I(como_cnt^2),0.047,0.032,1.4865415836,0.1371359262,NCT01335477,4
(Intercept),-1.568,0.273,-5.7521657947,8.810732708905686e-9,NCT02172586,1
age_std,-0.361,0.236,-1.5278983588,0.1265377758,NCT02172586,1
sex,-0.829,0.318,-2.6116113759,0.0090116629,NCT02172586,1
como_cnt,0.515,0.294,1.7541950016,0.0793970994,NCT02172586,1
(Intercept),-1.591,0.282,-5.6496397084,1.6078446757969014e-8,NCT02172586,2
age_std,-0.371,0.238,-1.5583702323,0.1191455089,NCT02172586,2
sex,-0.82,0.319,-2.5693815707,0.0101880209,NCT02172586,2
como_cnt,0.71,0.647,1.098152503,0.2721379024,NCT02172586,2
I(como_cnt^2),-0.125,0.373,-0.3339772614,0.7383967173,NCT02172586,2
(Intercept),-1.425,0.257,-5.5437694209,2.9602860848458612e-8,NCT02172586,5
age_std,-0.361,0.235,-1.5364098807,0.1244378849,NCT02172586,5
sex,-0.863,0.315,-2.739590723,0.0061515735,NCT02172586,5
(Intercept),-1.564,0.27,-5.7995863107,6.647871518284896e-9,NCT02172586,3
age_std,-0.085,0.392,-0.2171849599,0.8280642052,NCT02172586,3
I(age_std^2),0.202,0.235,0.8559764802,0.3920107891,NCT02172586,3
sex,-0.834,0.318,-2.6188063075,0.0088238033,NCT02172586,3
como_cnt,0.51,0.295,1.7294743061,0.0837242412,NCT02172586,3
(Intercept),-1.588,0.278,-5.7022244868,1.1825394950159015e-8,NCT02172586,4
age_std,-0.091,0.393,-0.2320018481,0.8165365784,NCT02172586,4
I(age_std^2),0.204,0.236,0.8654231344,0.3868065879,NCT02172586,4
