source_file,outcome_description,term,estimate,std.error,statistic,p.value,nct_id,model_description,model_n,outcome
oth,age_sex_como_sequence_enrolled,age_std,-8.02399098726986,7.972242874209098,-1.0064910356943806,0.3148787332597635,NCT00153088,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-18.48961106357514,9.043333897963167,-2.0445569379827453,0.04165061463599119,NCT00153088,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),249.35992800763685,6.519764426719929,38.24676962033872,4.850618470273635e-248,NCT00168818,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,1.1235413242638348,2.4187088940011328,0.4645211034078699,0.6423185063888442,NCT00168818,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-7.648866414379847,4.348121289694709,-1.759119836999048,0.07869039719089392,NCT00168818,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,12.578235981840129,6.100883537374628,2.061707276459973,0.03934798116188102,NCT00168818,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),274.2589532127544,9.784781272167752,28.029134794547556,3.59529739049201e-123,NCT00168857,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-6.4411318321297575,3.815638604014082,-1.6880875000461615,0.09175868733677073,NCT00168857,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-0.6086657394698041,8.17772012340397,-0.07442975918530792,0.940685819497777,NCT00168857,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-8.73928647357797,10.575936367147204,-0.8263369001278645,0.40884326741304855,NCT00168857,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),495.53150463462845,5.07510332617904,97.63968786182444,0,NCT00262600,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-0.44680604597624507,1.8132960441489283,-0.24640546005600192,0.8053711852495161,NCT00262600,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-2.8701351100268697,3.7740384522217214,-0.7604944004577545,0.4469690603471411,NCT00262600,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,3.004981801919582,4.466469677570696,0.6727867911003005,0.5010915651519284,NCT00262600,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),205.59185923894495,8.730982656937035,23.5473906336987,6.687964082168029e-86,NCT00273052,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-5.190307881194054,5.273174539389919,-0.9842852426793648,0.32539733035622065,NCT00273052,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-12.11620976241818,6.8495696462678035,-1.7689008781770788,0.07745083610840958,NCT00273052,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,2.1277445011778746,9.828480593236652,0.21648763315888886,0.8286859435402697,NCT00273052,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),156.59369407276827,8.012420044944427,19.54386979144631,5.921403290008344e-70,NCT00274599,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,1.1332252252796529,2.702837896756128,0.41927236059540185,0.6751285347804359,NCT00274599,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-2.0655783298949664,5.016725277200737,-0.4117383782768209,0.6806403890151369,NCT00274599,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-1.2443356120363003,6.982588330984668,-0.17820549530532426,0.8586062627897812,NCT00274599,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),164.148063636768,6.790624615463378,24.172748890135328,2.8893237956659724e-97,NCT00274612,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-2.3213715087129656,2.9556852275017462,-0.7853919920542669,0.4324571832284878,NCT00274612,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,3.2329039016876155,4.778343219971665,0.6765742335492564,0.4988724319723258,NCT00274612,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,4.150300571888261,6.753924525917421,0.6145020655712027,0.5390589886177635,NCT00274612,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),440.7467771008302,10.915923014326337,40.37650105468707,3.5373780515765304e-276,NCT00291330,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,4.414995524188998,4.066023151418778,1.0858264598538871,0.2776581317602018,NCT00291330,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-0.7937872898137918,4.979381008474343,-0.15941485266197858,0.8733546281416774,NCT00291330,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,2.639922530948577,10.43972654576076,0.2528727662910448,0.8003868615130282,NCT00291330,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),534.1283668826671,11.458763637043834,46.613088793972466,0,NCT00329238,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-2.420004240853129,4.887114959690482,-0.49518054328854916,0.6205107242925096,NCT00329238,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,7.903625381940958,5.996210173851928,1.3181034608171045,0.18757457407763511,NCT00329238,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,5.247002466950695,11.579744049841825,0.45311903651466007,0.6504974015496763,NCT00329238,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),291.9985960671532,11.995906467331988,24.341519906173183,2.019783051789721e-102,NCT00348140,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-1.3066047417369235,3.441422480647911,-0.37966996179176793,0.7042739570305702,NCT00348140,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,8.469262380397755,9.633743363351728,0.8791247660401831,0.37955248310865397,NCT00348140,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-3.210983979931307,10.24220052527785,-0.31350528355762686,0.7539645572365408,NCT00348140,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),297.822637262011,13.026993178959954,22.86196309237559,7.037559418327402e-93,NCT00348309,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,2.8811272590492876,3.5387969323848085,0.8141544468638626,0.41575629677598536,NCT00348309,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-0.3114349470355257,10.29863635289236,-0.03024040624058539,0.9758815444212634,NCT00348309,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-12.084224477977237,10.743504649283187,-1.1247935261780246,0.26095478824517143,NCT00348309,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),56.47517637505485,7.196004386503401,7.848129787271658,8.267402401856539e-13,NCT00402233,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,0.6895509661637746,1.6477260474712967,0.41848641479085835,0.676206457447471,NCT00402233,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,4.8517939915686386,4.297563377137446,1.1289639188056277,0.26076464266217253,NCT00402233,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,4.1809906080353825,6.287108294768429,0.665010114668206,0.5070931216489126,NCT00402233,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),148.17313561072936,8.649867570111489,17.130104525845304,2.313747004239788e-47,NCT00428090,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-5.82290565641024,3.2034979512484005,-1.8176711035950746,0.07003223871416006,NCT00428090,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-4.688764506805916,7.38120219233654,-0.6352304658005412,0.5257237238933389,NCT00428090,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-6.149570542391367,8.599159911059543,-0.7151362000469706,0.475036717456065,NCT00428090,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),133.77075074723862,8.814657105770097,15.175944922426075,4.5196764925555044e-38,NCT00439244,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,0.3485705397295106,2.8951049722504303,0.12039996582872048,0.9042555331792008,NCT00439244,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,7.436312314745133,8.325714065273804,0.8931741177326367,0.37255639790517736,NCT00439244,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),561.7888692519306,17.79924554850172,31.562510204215936,1.4847756156388706e-159,NCT00439647,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,18.091826785115355,6.271904014049557,2.8845828546782992,0.0039895983245090165,NCT00439647,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-25.048169647598574,17.665393374203962,-1.4179231176462435,0.15647369555966667,NCT00439647,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),86.45779752749013,9.541372656714206,9.061358426939787,1.291457972227316e-16,NCT00464269,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,6.02154814332177,3.287449474482148,1.8316777763619645,0.06850958068183705,NCT00464269,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,-1.4449653936474165,4.43977396781255,-0.32545922475403455,0.7451789469803958,NCT00464269,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-11.249090607061726,7.306032289501792,-1.5396989995822774,0.12523842968954438,NCT00464269,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),132.17725107669582,7.167969627720836,18.439984813206244,4.454350717307769e-53,NCT00466167,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-5.720305696263155,2.790018949965623,-2.0502748543459313,0.04110631376841648,NCT00466167,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,6.738932746936841,6.115193658336932,1.10199825605679,0.27124419344840256,NCT00466167,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-8.15737129789715,7.654749042177019,-1.0656614936623952,0.2873350821747294,NCT00466167,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),123.60030371346807,7.292538959558076,16.948871222891373,1.0973836202096779e-46,NCT00472199,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,-3.0532180456620317,2.5369783328898765,-1.203486055075648,0.2296588128393159,NCT00472199,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,age_std,1.7542055481586316,4.914216017331432,0.3569654939815239,0.7213478837916849,NCT00472199,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,sex,-4.900202705647908,7.438866642082834,-0.6587297422334061,0.5105328829703749,NCT00472199,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,(Intercept),118.01024472929267,6.623157418297043,17.817822720516833,6.692749118811032e-50,NCT00479401,age_sex_como_sequence_enrolled,1,sequence_enrolled
oth,age_sex_como_sequence_enrolled,como_cnt,2.306654290619853,2.448547843463823,0.9420499161481604,0.3468733091676719,NCT00479401,age_sex_como_sequence_enrolled,1,sequence_enrolled
